First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
2403f14853adc9a6b068b409e214326ab26f1ca3,Initial commit,briannesbitt,https://api.github.com/repos/briannesbitt/Carbon/git/commits/2403f14853adc9a6b068b409e214326ab26f1ca3
bc44c2bc6730aa0e9f7f9777a633a0ad613bfa36,Fixed typos,pborreli,https://api.github.com/repos/briannesbitt/Carbon/git/commits/bc44c2bc6730aa0e9f7f9777a633a0ad613bfa36
e36ffcc473f47829440e2ea23d5b4d16ef55be87,implement __isset,flevour,https://api.github.com/repos/briannesbitt/Carbon/git/commits/e36ffcc473f47829440e2ea23d5b4d16ef55be87
72f3813ec3fd16bf07c154fdcff4ad16ac9c5c45,Use DateTime instead of always referring to its fully qualified name,Anahkiasen,https://api.github.com/repos/briannesbitt/Carbon/git/commits/72f3813ec3fd16bf07c154fdcff4ad16ac9c5c45
992e4ae006010df2bd3ba9358d1f95f1f5ae0587,"Update Carbon.php

Really faster (no multiplication, no array explode operation) and easier diffInSeconds",lucasmichot,https://api.github.com/repos/briannesbitt/Carbon/git/commits/992e4ae006010df2bd3ba9358d1f95f1f5ae0587
6e4c7445a3ba0c5d8d762dfa7507f6f9483ba1bf,Added to day of week modifiers. startOfWeek() & endOfWeek(),aloha,https://api.github.com/repos/briannesbitt/Carbon/git/commits/6e4c7445a3ba0c5d8d762dfa7507f6f9483ba1bf
51f9c39cd23ed3239c6786b68fc4463f620048ef,Carbon::parse PHPDoc @return added,skrabadiloseidon,https://api.github.com/repos/briannesbitt/Carbon/git/commits/51f9c39cd23ed3239c6786b68fc4463f620048ef
b9188951af08bdead5331459af1fd6096d81fed1,added test aid for relative dates,nicholas-eden,https://api.github.com/repos/briannesbitt/Carbon/git/commits/b9188951af08bdead5331459af1fd6096d81fed1
5fa0c4abd7111ba62f78e03ee94eee75e1dc528a,"Added $local, checks if the timezone is local",semalead,https://api.github.com/repos/briannesbitt/Carbon/git/commits/5fa0c4abd7111ba62f78e03ee94eee75e1dc528a
017d6b746d35f9923468fd57952349f0702db884,"default string format setter, fixes #55",cviebrock,https://api.github.com/repos/briannesbitt/Carbon/git/commits/017d6b746d35f9923468fd57952349f0702db884
2c70b6eefabadd65399bf47c7f80d567cae14b97,"Added isSameDay

Checks if a date is the same day as a passed date.",enkelmedia,https://api.github.com/repos/briannesbitt/Carbon/git/commits/2c70b6eefabadd65399bf47c7f80d567cae14b97
