First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Added MongoKit pattern and fixed typo in sqlalchemy pattern ,0,Experienced,https://github.com/pallets/flask/commit/824c10c6e4d9c2235d41a2276a0158b1456c3b06,0,0,0,1,0,0,
Add unittests for the endpoint decorator ,0,Experienced,https://github.com/pallets/flask/commit/8a73097fe528430eb77ac26c81ba85229a8af553,0,0,0,0,1,0,
silent option added to 'from_pyfile' to mirror 'from_envvar'. ,0,Experienced,https://github.com/pallets/flask/commit/5cc40f4728d5b5356cf49b7dfaa2b130e0b0aedf,0,1,0,0,0,0,
jQuery Documentation Update,0,Medior,https://github.com/pallets/flask/pull/249,0,0,0,1,0,0,
Add import to jsonify example,0,Medior,https://github.com/pallets/flask/pull/700,0,0,0,1,0,0,
Fix typo,0,Medior,https://github.com/pallets/flask/pull/844,0,0,0,1,0,0,
Fix typo in docs for error_handler_spec,0,Medior,https://github.com/pallets/flask/pull/895,0,0,0,1,0,0,
mprove compression by removing whitespace from separators when using jsonify() and JSONIFY_PRETTYPRINT_REGULAR is False.,0,Experienced,https://github.com/pallets/flask/commit/d425279650b392faf679db3245b8ac7f8c84cf54,0,1,0,0,0,1,
Add trim_namespace argument for app.config.get_namespace (with tests),0,Medior,https://github.com/pallets/flask/pull/1213,0,1,0,0,1,0,
"Update api.rst, fixed spelling",0,Experienced,https://github.com/pallets/flask/pull/1335,0,0,0,1,0,0,
Remove the word `trivially` here,0,Experienced,https://github.com/pallets/flask/pull/1491,0,0,0,1,0,0,
Fix project name in CONTRIBUTING.rst,0,Experienced,https://github.com/pallets/flask/pull/1499,0,0,0,1,0,0,
Missing apostophe.,0,Novice,https://github.com/pallets/flask/pull/1565,0,0,0,1,0,0,
Updated documentation for Setuptools,1,Novice,https://github.com/pallets/flask/pull/1588,0,0,0,1,0,0,"Multiple PRs, took first one for data."
"Fixed mistake in CONTRIBUTING.rst file, regarding pip install.",0,Novice,https://github.com/pallets/flask/pull/1666,0,0,0,1,0,0,
"Replace ';' to ','",0,Experienced,https://github.com/pallets/flask/pull/1755,0,0,0,1,0,0,
Add subclassing pattern/example,0,Medior,https://github.com/pallets/flask/pull/1862,0,0,0,1,0,0,
Updating url in errorhandling.rst to a valid link,0,Medior,https://github.com/pallets/flask/pull/1892,0,0,0,1,0,0,
Use the Celery result backend setting from the example,0,Novice,https://github.com/pallets/flask/pull/1990,0,0,0,1,0,0,
Spelling,0,Experienced,https://github.com/pallets/flask/pull/1998,0,0,0,1,0,0,
[ImgBot] optimizes images,0,BOT,https://github.com/pallets/flask/pull/2470,0,0,0,0,0,1,
Added short note about Werkzeug redirect behaviour,0,Experienced,https://github.com/pallets/flask/pull/2729,0,0,0,1,0,0,
Fixed Debug default value in the docs,0,Experienced,https://github.com/pallets/flask/pull/2733,0,0,0,1,0,0,
AttributeError: 'module' object has no attribute 'SSLContext',0,Experienced,https://github.com/pallets/flask/pull/2789,1,0,0,0,0,0,
Update documentation for users to use flask-caching instead of Werkzeug cache,0,Novice,https://github.com/pallets/flask/pull/2993,0,0,0,1,0,0,
Fix typos found while completing the Flask tutorial,0,Experienced,https://github.com/pallets/flask/pull/3031,0,0,0,1,0,0,
Do not handle RoutingExceptions with app error handlers,0,Experienced,https://github.com/pallets/flask/pull/2986,1,0,0,0,0,1,
Update CONTRIBUTING.rst discord link + style info,0,Experienced,https://github.com/pallets/flask/pull/3137,0,0,0,1,0,0,
removed unused reference to url_join,0,Experienced,https://github.com/pallets/flask/pull/3166,0,0,0,0,0,1,
moving match_request to RequestContext.push to enable ModelConverter,0,Medior,https://github.com/pallets/flask/pull/3104,0,1,0,0,0,1,
