First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
3dfd79a26d35f07498e8f50505d6f62409603caf,Initial commit.,davidfowl,https://api.github.com/repos/dotnet/aspnetcore/git/commits/3dfd79a26d35f07498e8f50505d6f62409603caf
bdf69b0d0c7aafb021c64140bc619d276a5f83d4,Initial commit,lodejard,https://api.github.com/repos/dotnet/aspnetcore/git/commits/bdf69b0d0c7aafb021c64140bc619d276a5f83d4
bd2e434da972806666ff0f7d391b1ed356877a34,Add JSON formatter support,yishaigalatzer,https://api.github.com/repos/dotnet/aspnetcore/git/commits/bd2e434da972806666ff0f7d391b1ed356877a34
b918cb8170f127fa92876127fc00faf322a30fd1,Adding view engines,pranavkm,https://api.github.com/repos/dotnet/aspnetcore/git/commits/b918cb8170f127fa92876127fc00faf322a30fd1
72e37d7ac66398e48e719ddb06574f7b3dd857e4,Update code to be the latest bits.,NTaylorMullen,https://api.github.com/repos/dotnet/aspnetcore/git/commits/72e37d7ac66398e48e719ddb06574f7b3dd857e4
93cff615c378425ca5895df25c562fe286c893d3,Create README.md,loudej,https://api.github.com/repos/dotnet/aspnetcore/git/commits/93cff615c378425ca5895df25c562fe286c893d3
921a848cceef426c9b1349cae970e5bf9a5d90a8,Read compliationOptions per config.,Tratcher,https://api.github.com/repos/dotnet/aspnetcore/git/commits/921a848cceef426c9b1349cae970e5bf9a5d90a8
a99fefd28d131411ea29cd804261e4502ed1a0f1,initial checkin (readme),rynowak,https://api.github.com/repos/dotnet/aspnetcore/git/commits/a99fefd28d131411ea29cd804261e4502ed1a0f1
6a9b6c16c2b122e999d66a115a6c1d1b1a2a9995,"Everything but the kitchen async... (Updates to how Music Store controllers use data)

Specifically:
- Dispose contexts
- Use async wherever possible
- Stop using initializers (currently hard-coded to drop and recreate each run)
- Some general cleanup
- Stop using AttachDbFilename

Not included here:
- No major changes to app structure
- No major changes to data model
- No major changes to error handling, concurrency, etc.",ajcvickers,https://api.github.com/repos/dotnet/aspnetcore/git/commits/6a9b6c16c2b122e999d66a115a6c1d1b1a2a9995
869a4ec267b9a1a0e9de18894319a281dfba85c8,Initial implementation of Microsoft.AspNet.Security.DataProtection,GrabYourPitchforks,https://api.github.com/repos/dotnet/aspnetcore/git/commits/869a4ec267b9a1a0e9de18894319a281dfba85c8
9935af3a43dea3272351b1872b41c9756d1dcc10,Improved package reference resolution.,anpete,https://api.github.com/repos/dotnet/aspnetcore/git/commits/9935af3a43dea3272351b1872b41c9756d1dcc10
7e121a9ccd26dd31570bd683d2c66c5093b12d51,Initial identity repo,HaoK,https://api.github.com/repos/dotnet/aspnetcore/git/commits/7e121a9ccd26dd31570bd683d2c66c5093b12d51
ffe5f070e0ee18484daa1bc50bf81cc7ea2f5a25,"Configure bugtraq options after clone

This enables linking to issues from commit messages in various tools (e.g. gitk, TortoiseGit, etc.)",bricelam,https://api.github.com/repos/dotnet/aspnetcore/git/commits/ffe5f070e0ee18484daa1bc50bf81cc7ea2f5a25
2bdbd49966a7d2a1f2491ceaa106b07a6e8245ff,"Remove #if NET45 for GetUnicodeCategory and just use CharUnicodeInfo everywhere.

.NET FX Team will not be adding Char.GetUnicodeCategory because it breaks layering. We cannot have a dependency form System.Runtime.dll to System.Globalization.dll.",nguerrera,https://api.github.com/repos/dotnet/aspnetcore/git/commits/2bdbd49966a7d2a1f2491ceaa106b07a6e8245ff
2b76020f1b52d294a00bb0b3dddc68dec9d4987c,"Fix #14: Clone inner repositories using matching GitHub URLs
- Read remote.origin.url config value in Universe to choose URL of inner
  repositories for `git clone` and `git pull` commands
- Does not change remote.origin.url config value in inner repositories",dougbu,https://api.github.com/repos/dotnet/aspnetcore/git/commits/2b76020f1b52d294a00bb0b3dddc68dec9d4987c
c9b60c13e4cc777ff945347a8b5ab2ac89406a15,"Worker based request processing. A static number of workers are used to listen to requests

Signed-off-by: Shih-Ying Hsu <shhsu@microsoft.com>",shhsu,https://api.github.com/repos/dotnet/aspnetcore/git/commits/c9b60c13e4cc777ff945347a8b5ab2ac89406a15
4d1768ce3c74bd624f7c108d3994a20611469ed7,Use the ServiceDescriber class from the DI project in GetDefaultServices,halter73,https://api.github.com/repos/dotnet/aspnetcore/git/commits/4d1768ce3c74bd624f7c108d3994a20611469ed7
9cd99a42a773ebb7cea2eade6d73edf2002dc168,"ActionExecutor implementation WebFx W113
The changes include:
1. Action executor changes required for supporting sync and async operations Taksk and Task
2. Adding test project for MVC core - This contains ActionExecutor Tests.
3. Also adding a resources file for MVC core project",harshgMSFT,https://api.github.com/repos/dotnet/aspnetcore/git/commits/9cd99a42a773ebb7cea2eade6d73edf2002dc168
5497541e08542c11563ec9e53c4dffda6e495182,"Updating the music store application with the latest code.

Changes include
(1) Inclusion of all views (with non compiling code commented out)
(2) Inclusion of all models with data annotations
(3) images & setting up of static files
(4) MVC application setup and scripts to run the application
(5) Scripts to clean up the temporary files and capture LKG build.",Praburaj,https://api.github.com/repos/dotnet/aspnetcore/git/commits/5497541e08542c11563ec9e53c4dffda6e495182
965046813e17702a6137bfd031114f9add4f3633,"Swapping data access to use EF

Enabling data access against new EF stack.
Uses SQL Server when running on Net45 and an in-memory database for K10
(because SQL Client isn't available on K10 yet).
Various workarounds in place to compensate for missing features in EF
(all marked with ""// TODO [EF]...""",rowanmiller,https://api.github.com/repos/dotnet/aspnetcore/git/commits/965046813e17702a6137bfd031114f9add4f3633
b3ce7be28141a581f381f4f7adc222d50cc98ae2,initial commit,glennc,https://api.github.com/repos/dotnet/aspnetcore/git/commits/b3ce7be28141a581f381f4f7adc222d50cc98ae2
8ca4a331e2766efe243993cabbbbca79f6498d17,"Created an in memory host for testing purposes and added the appropriate
APIs to allow sending requests through the pipeline easily.",javiercn,https://api.github.com/repos/dotnet/aspnetcore/git/commits/8ca4a331e2766efe243993cabbbbca79f6498d17
86d327366f556602772b71d2b490af974fa79cf9,Fix wrong order of arguments passed to ArgumentException ctor,ChengTian,https://api.github.com/repos/dotnet/aspnetcore/git/commits/86d327366f556602772b71d2b490af974fa79cf9
f5200a1d55e625fbe122c30664c5021cde8d645c,"Implementing IAuthorizationService

#7",sebastienros,https://api.github.com/repos/dotnet/aspnetcore/git/commits/f5200a1d55e625fbe122c30664c5021cde8d645c
