First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
b297fcb835428108bd1b4e75cb519c0fabff39fa,initial commit,ac360,https://api.github.com/repos/serverless/serverless/git/commits/b297fcb835428108bd1b4e75cb519c0fabff39fa
15c2467da985ba603c6182dc4f7f16d1ba9eee21,Missing word,colinramsay,https://api.github.com/repos/serverless/serverless/git/commits/15c2467da985ba603c6182dc4f7f16d1ba9eee21
f9f829573a7b0b5d3b660261747ef878419d55b7,remove extraneous `are`,friism,https://api.github.com/repos/serverless/serverless/git/commits/f9f829573a7b0b5d3b660261747ef878419d55b7
89fe38f910d6aa5fe6adc5c0b756aed0066e39c3,"Update README.md

fixed some typos",derekvanvliet,https://api.github.com/repos/serverless/serverless/git/commits/89fe38f910d6aa5fe6adc5c0b756aed0066e39c3
69acfa3ca4e35567f647fe4f3a98f963d2766e59,updated aws config to use .env regions,austinrivas,https://api.github.com/repos/serverless/serverless/git/commits/69acfa3ca4e35567f647fe4f3a98f963d2766e59
3b7d89ff245a35959fd9f9605faca8882387351e,default help with no args passed to jaws,mcwhittemore,https://api.github.com/repos/serverless/serverless/git/commits/3b7d89ff245a35959fd9f9605faca8882387351e
a9dc285ab6fdb421baaee63ae6ecd3fc08a26c35,"Added action help text for the jaws bin.
When creating a new action, quickly check if we are in the JAWS project directory.",dekz,https://api.github.com/repos/serverless/serverless/git/commits/a9dc285ab6fdb421baaee63ae6ecd3fc08a26c35
882cfa0eda3722174a03b801e4b8d143f02cfc4b,Fix typo in jaws.json doc,boushley,https://api.github.com/repos/serverless/serverless/git/commits/882cfa0eda3722174a03b801e4b8d143f02cfc4b
bc35e2364eb74697c7e6a0c96ce604d47347f3ee,Fix the header image link in README,uiur,https://api.github.com/repos/serverless/serverless/git/commits/bc35e2364eb74697c7e6a0c96ce604d47347f3ee
02e2ee6237a4748c6bfdde5a6953feb8f57c5a2f,removed duplicate lines,eahefnawy,https://api.github.com/repos/serverless/serverless/git/commits/02e2ee6237a4748c6bfdde5a6953feb8f57c5a2f
280c7ae7f10a19edd55acf409f43d5d82237286c,"install shelljs as dependency, not devDependency",markogresak,https://api.github.com/repos/serverless/serverless/git/commits/280c7ae7f10a19edd55acf409f43d5d82237286c
