First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
a99a6046f0f90d4a2f8579657e1e5789b0b7902b,"[css2] Hello!

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%402",ianbjacobs,https://api.github.com/repos/w3c/csswg-drafts/git/commits/a99a6046f0f90d4a2f8579657e1e5789b0b7902b
6965980dc1472a0fae629dd709c2232e789a4b5d,"[css2] Added to CVS

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%403",bert-github,https://api.github.com/repos/w3c/csswg-drafts/git/commits/6965980dc1472a0fae629dd709c2232e789a4b5d
f9464a8928677c5eb0deee19b00076da63d621ad,"[css2] added TODO entries from whiteboard discussions with Bert

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%40169",howcom,https://api.github.com/repos/w3c/csswg-drafts/git/commits/f9464a8928677c5eb0deee19b00076da63d621ad
7b6c067c8af22fcb3722eadc33a46a0a87708469,"[css2] checkpoint - partial review of fonts stuff

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%40205",svgeesus,https://api.github.com/repos/w3c/csswg-drafts/git/commits/7b6c067c8af22fcb3722eadc33a46a0a87708469
282ed159383174802f37393baae309a18aa824da,"[css2] regex fix required

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%402271",tguild,https://api.github.com/repos/w3c/csswg-drafts/git/commits/282ed159383174802f37393baae309a18aa824da
939c44f83432d8ffccc9354590ba7887d31839bb,"[css2] Making my 2.1 edits: tree order for line boxes, positioned floating descendants only get painted once..

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%402287",Hixie,https://api.github.com/repos/w3c/csswg-drafts/git/commits/939c44f83432d8ffccc9354590ba7887d31839bb
59dc7c2436ba4193d224899283f65dba786f406e,"[css2] Resolutions from 2005-10-04 telecon.

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%402363",dbaron,https://api.github.com/repos/w3c/csswg-drafts/git/commits/59dc7c2436ba4193d224899283f65dba786f406e
72d71bb178babbb4e6eb0cb6162b6cdcbaf98bc3,"[css2] fix grammar

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%402367",fantasai,https://api.github.com/repos/w3c/csswg-drafts/git/commits/72d71bb178babbb4e6eb0cb6162b6cdcbaf98bc3
4e64c9746292de3cfed78413d0e7bd9c6c4cc7d3,"[css2] updated Issue 166

--HG--
extra : convert_revision : svn%3A73dc7c4b-06e6-40f3-b4f7-9ed1dbc14bfc/trunk%402457",mielke,https://api.github.com/repos/w3c/csswg-drafts/git/commits/4e64c9746292de3cfed78413d0e7bd9c6c4cc7d3
678f37ab3f2198d839ed14a84ca5c7de680ef4c2,Initial version of what is to become the CSSOM spec,annevk,https://api.github.com/repos/w3c/csswg-drafts/git/commits/678f37ab3f2198d839ed14a84ca5c7de680ef4c2
089e03eb88738ed6ba8cf1c9807378962ef4b017,*** empty log message ***,alexmog1,https://api.github.com/repos/w3c/csswg-drafts/git/commits/089e03eb88738ed6ba8cf1c9807378962ef4b017
857e535d3c76b6a0cf62ffe0a4fa0ffe4dd44f03,Initial checkin on CSS 2d transforms,grorg,https://api.github.com/repos/w3c/csswg-drafts/git/commits/857e535d3c76b6a0cf62ffe0a4fa0ffe4dd44f03
840ac1dd01823b89098c67e41c0a7e1bbf8b4608,First try at adding linear gradients,tabatkins,https://api.github.com/repos/w3c/csswg-drafts/git/commits/840ac1dd01823b89098c67e41c0a7e1bbf8b4608
5b841d7830fd8d7f10daa1763343bd390590bf5a,*** empty log message ***,r12a,https://api.github.com/repos/w3c/csswg-drafts/git/commits/5b841d7830fd8d7f10daa1763343bd390590bf5a
9f04992307836abd05d06b27c4ae57ca71268752,"* Fixed above/below to over/under
* Added default UA stylesheet for text-emphasis-position
* Added issue to default UA stylesheet",kojiishi,https://api.github.com/repos/w3c/csswg-drafts/git/commits/9f04992307836abd05d06b27c4ae57ca71268752
f8d948a698b702d73bb830a5789031b822167d5d,first time commit.,danielweck,https://api.github.com/repos/w3c/csswg-drafts/git/commits/f8d948a698b702d73bb830a5789031b822167d5d
c2f41ed704022aa86fbc4ca6b8e1348a99eed094,Adding missing Overview.html,vhardy,https://api.github.com/repos/w3c/csswg-drafts/git/commits/c2f41ed704022aa86fbc4ca6b8e1348a99eed094
b393a1507f5b69357b8d0edfdb701035a835ce58,"Moving the module from ""CSS Exclusions"" to ""CSS Exclusions and Shapes"".
The new spec has updated property names, property values, examples and suggested processing model.
The list of authors is updated to Vincent Hardy and Rossen Atanassov. Everyone else is moved to the Acknowledgments section.",atanassov,https://api.github.com/repos/w3c/csswg-drafts/git/commits/b393a1507f5b69357b8d0edfdb701035a835ce58
