Project Name,Link to Github,Uses 'Good First Issue' tagging? (0/1),Justification for Selection
React,https://github.com/facebook/react,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Angular,https://github.com/angular/angular,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Django,https://github.com/django/django,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Laravel,https://github.com/laravel/laravel,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Ruby on Rails,https://github.com/rails/rails,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Vue.js,https://github.com/vuejs/vue,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Spring Framework,https://github.com/spring-projects/spring-framework,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Express,https://github.com/expressjs/express,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
ASP.NET,https://github.com/dotnet/aspnetcore,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Meteor,https://github.com/meteor/meteor,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Flask,https://github.com/pallets/flask,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Drupal,https://github.com/drupal/drupal,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Node.js,https://github.com/nodejs/node,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Pandas,https://github.com/pandas-dev/pandas,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Tensorflow,https://github.com/tensorflow/tensorflow,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Ansible,https://github.com/ansible/ansible,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Cordova,https://github.com/apache/cordova,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Xamarin,https://github.com/xamarin/Xamarin.Forms,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
